round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,pfa1,pfa2,pfa3,pfa4,nfa1,nfa2,nfa3,nfa4,opening_odds1,opening_odds2,opening_odds3,opening_odds4,closing_odds1,closing_odds2,closing_odds3,closing_odds4,winner
8428,4,2,4,7,13,0,2,4,1,3,3,4,2,-3,-1,0,-1,13,4,2,3,13,3,2,2,4
8429,0,5,13,4,7,-1,0,-1,-2,1,1,1,2,-2,-1,-2,-4,6,2,3,5,5,2,3,5,4
8429,1,19,17,15,18,-1,1,3,-1,0,3,3,3,-1,-2,0,-4,12,12,2,13,13,13,2,13,3
8429,2,6,16,12,3,0,-3,-1,6,0,0,1,6,0,-3,-2,0,6,6,6,2,6,7,7,2,4
8429,3,11,1,8,9,3,-1,2,2,3,2,4,2,0,-3,-2,0,10,2,4,6,11,2,4,6,4
8429,4,14,10,2,20,3,0,3,1,3,1,4,2,0,-1,-1,-1,5,13,3,2,6,13,3,2,3
8430,0,12,19,8,9,2,0,1,-1,4,1,3,1,-2,-1,-2,-2,9,2,6,13,12,2,9,13,2
8430,1,20,7,14,6,2,2,4,0,2,3,5,1,0,-1,-1,-1,3,4,3,5,3,4,3,5,4
8430,2,3,5,2,10,2,1,3,-1,3,1,5,0,-1,0,-2,-1,13,2,2,7,13,2,2,6,3
8430,3,15,1,17,4,-1,0,3,-1,1,1,3,1,-2,-1,0,-2,4,4,2,6,4,4,2,6,2
8430,4,13,11,16,18,0,1,1,1,2,1,2,3,-2,0,-1,-2,6,12,2,3,6,12,2,3,3
8431,0,18,1,15,8,2,1,-1,3,3,2,1,4,-1,-1,-2,-1,12,3,2,7,12,3,2,7,2
8431,1,3,13,10,7,1,-2,-1,5,3,1,1,5,-2,-3,-2,0,13,8,13,2,13,12,13,2,4
8431,2,6,4,12,17,0,-1,1,5,0,2,1,5,0,-3,0,0,13,12,10,2,13,13,13,2,4
8431,3,14,9,2,20,0,1,2,1,2,2,4,2,-2,-1,-2,-1,12,13,4,2,13,13,6,2,3
8431,4,11,19,5,16,1,-2,0,3,2,0,1,3,-1,-2,-1,0,13,6,5,2,13,7,7,2,3
8432,0,15,2,13,17,0,-1,0,3,2,2,2,4,-2,-3,-2,-1,2,13,10,2,2,13,10,2,4
8432,1,9,3,8,16,-1,0,1,3,0,2,4,4,-1,-2,-3,-1,13,13,6,2,13,13,9,2,4
8432,2,10,18,5,7,1,0,1,1,1,2,2,1,0,-2,-1,0,13,9,2,2,13,9,2,2,4
8432,3,19,11,1,14,-1,3,1,1,1,4,2,2,-2,-1,-1,-1,4,13,2,7,5,13,2,9,1
8432,4,4,12,20,6,1,2,0,3,2,3,2,3,-1,-1,-2,0,3,6,4,2,3,6,2,3,3
8433,0,16,13,18,5,4,2,0,0,4,3,1,1,0,-1,-1,-1,2,4,10,4,2,4,11,4,1
